Date/Time Reported,Date/Time Occurred,Location,Incident,CAD #,Report #,Disposition
4/15/2023 10:46,,Mathematics And Science,CITIZEN ASSIST - Public Assist (specify),23-04-15-005191,,TURNED OVER TO FACILITY SVS
4/15/2023 10:11,,Unknown On-campus,PATROL ACTIVITY - Patrol Check,23-04-15-005190,,IN SERVICE
4/15/2023 10:07,,,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005189,,False/Human Error
4/15/2023 9:12,,Grand Avenue,EVENT - Protest/Demonstration,23-04-15-005188,,GONE ON ARRIVAL/UNABLE TO LOCATE
4/15/2023 7:35,,H4-a Parking Lot,CITIZEN ASSIST - Attempt to Locate/Contact (specify),23-04-15-005187,,COMPLETED- NO REPORT
4/15/2023 2:14,,Grand Avenue,VEHICLE - Vehicle Stop,23-04-15-005177,,DRIVER WARNED/ADVISED
4/15/2023 1:56,,Poly Canyon Village Pool,ALARM - Burglary Alarm,23-04-15-005175,,SECURE/UNKNOWN
4/15/2023 1:31,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-15-005174,,IN SERVICE
4/15/2023 1:18,,Yak?ityutyu - H,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005173,,REPORT TAKEN
4/15/2023 1:04,,Poly Canyon Village,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005172,,COMPLETED- NO REPORT
4/15/2023 1:02,,Poly Canyon Road,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-15-005171,,COMPLETED- NO REPORT
4/15/2023 0:53,04/15/2023 12:53 am - 04/15/2023 01:00 am,Grand Avenue Parking Structure,TRAFFIC COLLISION - Non Injury Traffic Collision,,230471,Closed
4/15/2023 0:53,,Ytt Parking Structure,TRAFFIC COLLISION - Non Injury Traffic Collision,23-04-15-005170,230471,REPORT TAKEN
4/15/2023 0:10,04/14/2023 09:00 pm - 04/15/2023 12:35 am,Yak?ityutyu - D,MEDICAL - MEDICAL AID - ALCOHOL/DRUG,,230470,Closed
4/15/2023 0:10,,Yak?ityutyu - D,CITIZEN ASSIST - Check The Welfare,23-04-15-005169,230470,REPORT TAKEN
4/15/2023 0:00,,Red Brick Dorms,PATROL ACTIVITY - Patrol Check,23-04-15-005168,,COMPLETED- NO REPORT
4/14/2023 23:44,,Muir Hall,ALARM - Fire Alarm,23-04-14-005166,,False/Mechanical
4/14/2023 23:41,,Fremont Hall,PATROL ACTIVITY - Foot Patrol,23-04-14-005165,,IN SERVICE
4/14/2023 23:32,,North Perimeter Road,VEHICLE - Vehicle Stop,23-04-14-005164,,DRIVER WARNED/ADVISED
4/14/2023 23:31,,A-1 Parking Lot,PATROL ACTIVITY - Vehicle Check,23-04-14-005163,,COMPLETED- NO REPORT
4/14/2023 23:27,,Poly Canyon Village Pool,ALARM - Burglary Alarm,23-04-14-005162,,SUBJECT(S) ADVISED/WARNED
4/14/2023 23:26,,Fremont Hall,PATROL ACTIVITY - Patrol Check,23-04-14-005160,,IN SERVICE
4/14/2023 23:22,,Grand Avenue,VEHICLE - Vehicle Stop,23-04-14-005159,,DRIVER WARNED/ADVISED
4/14/2023 23:14,,Zone2 West Of California Blvd,PATROL ACTIVITY - Patrol Check,23-04-14-005158,,IN SERVICE
4/14/2023 23:12,,Red Brick Dorms,PATROL ACTIVITY - Patrol Check,23-04-14-005157,,IN SERVICE
4/14/2023 23:06,,Campus Market,PATROL ACTIVITY - Patrol Check,23-04-14-005156,,COMPLETED- NO REPORT
4/14/2023 23:02,,North Perimeter Road,PARKING - Parking Violation,23-04-14-005154,,COMPLETED- NO REPORT
4/14/2023 23:01,,Sequoia Hall,CITIZEN ASSIST - Public Assist (specify),23-04-14-005155,,TURNED OVER TO ENGINEERING SVS
4/14/2023 22:59,,Muir Hall,FOLLOWUP - Followup,23-04-14-005153,,COMPLETED- NO REPORT
4/14/2023 22:51,,Canyon Circle Parking Structure,DISTURBANCE - Disturbance (specify) In Progress,23-04-14-005152,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
4/14/2023 22:17,,Cerro Vista  Islay,ALARM - Fire Alarm,23-04-14-005146,,TURNED OVER TO ENGINEERING SVS
4/14/2023 21:56,,Pcv Corralitos,ALARM - Elevator Emergency/Alarm,23-04-14-005145,,UNFOUNDED
4/14/2023 21:54,,Cerro Vista Bishop,ALARM - Fire Alarm,23-04-14-005144,,TURNED OVER TO ENGINEERING SVS
4/14/2023 21:31,,Engineering Iv,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005142,,UNFOUNDED
4/14/2023 21:31,,Engineering Iv,ALARM - Elevator Emergency/Alarm,23-04-14-005143,,COMPLETED- NO REPORT
4/14/2023 21:30,,C-4 Parking Lot,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005141,,COMPLETED- NO REPORT
4/14/2023 21:28,,Pcv Corralitos,ALARM - Fire Alarm,23-04-14-005140,,False/Cooking related
4/14/2023 21:21,,Crops Science Unit,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005139,,COMPLETED- NO REPORT
4/14/2023 20:59,,Rodeo Arena,CITIZEN ASSIST - Escort,23-04-14-005138,,IN SERVICE
4/14/2023 19:57,,Cerro Vista  Islay,ALARM - Fire Alarm,23-04-14-005136,,False/Mechanical
4/14/2023 19:40,,Pcv Estrella,ALARM - Fire Alarm,23-04-14-005135,,False/Cooking related
4/14/2023 18:49,,Mathematics And Science Area,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005133,,COMPLETED- NO REPORT
4/14/2023 18:17,,Pcv Estrella,ALARM - Elevator Emergency/Alarm,23-04-14-005132,,False/Human Error
4/14/2023 18:00,04/14/2023 06:00 pm - 04/14/2023 06:19 pm,Education Building,VANDALISM - Vandalism - Less Than $400,,230469,Closed
4/14/2023 18:00,,Education Building,VANDALISM - Malicious Mischief report,23-04-14-005129,230469,REPORT TAKEN
4/14/2023 17:55,,Rodeo Arena,MEDICAL - Medical Aid,23-04-14-005127,,COMPLETED- NO REPORT
4/14/2023 17:39,,Rodeo Arena,MEDICAL - Medical Aid,23-04-14-005126,,COMPLETED- NO REPORT
4/14/2023 17:25,,Highland Drive,DISTURBANCE - Disturbance (specify) In Progress,23-04-14-005125,,COMPLETED- NO REPORT
4/14/2023 17:10,,Ytt Parking Structure,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-14-005124,,IN SERVICE
4/14/2023 16:31,,Recreation Center Area,PATROL ACTIVITY - Patrol Check,23-04-14-005122,,IN SERVICE
4/14/2023 15:39,,Cerro Vista  Islay,ALARM - Elevator Emergency/Alarm,23-04-14-005121,,COMPLETED- NO REPORT
4/14/2023 15:29,,Klamath Road,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005120,,COMPLETED- NO REPORT
4/14/2023 15:14,,Kinesiology,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005119,,UNFOUNDED
4/14/2023 15:10,,Fremont Hall Area,PARKING - Parking Violation,23-04-14-005118,,TURNED OVER TO TAPS
4/14/2023 14:06,,Corporation Warehouse Area,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-14-005114,,COMPLETED- NO REPORT
4/14/2023 13:57,,H14-a Parking Lot,CITIZEN ASSIST - Public Assist (specify),23-04-14-005113,,COMPLETED- NO REPORT
4/14/2023 13:17,,Yosemite Tower 2,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-14-005112,,GONE ON ARRIVAL/UNABLE TO LOCATE
4/14/2023 13:09,,Performing Arts Center,MOTOR VEHICLE THEFT - Motor Vehicle Theft Auto,23-04-14-005111,,COMPLETED- NO REPORT
4/14/2023 11:54,,Yak?ityutyu - D,ALARM - Elevator Emergency/Alarm,23-04-14-005110,,QUIET ON ARRIVAL/QUIET ON DEPARTURE
4/14/2023 11:28,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-04-14-005109,,False/Human Error
4/14/2023 11:26,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-04-14-005108,,IN SERVICE
4/14/2023 11:18,,Frank E Pilling Computer Science,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-14-005107,,UNFOUNDED
4/14/2023 9:18,,Student Services Center Area,PARKING - Parking Violation,23-04-14-005106,,COMPLETED- NO REPORT
4/14/2023 0:04,04/12/2023 11:20 pm - 04/13/2023 11:20 pm,Muir Hall,VANDALISM - Vandalism - Less Than $400,,230466,Closed
4/14/2023 0:04,,Muir Hall,VANDALISM - Malicious Mischief report,23-04-14-005096,230466,REPORT TAKEN
4/13/2023 23:55,,Dexter Lawn,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-13-005095,,GONE ON ARRIVAL/UNABLE TO LOCATE
4/13/2023 23:50,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-13-005094,,IN SERVICE
4/13/2023 23:40,,Pcv Aliso,ALARM - Fire Alarm,23-04-13-005092,,False/Cooking related
4/13/2023 19:41,04/13/2023 07:41 pm - 04/13/2023 09:07 pm,Old Science,DOCUMENTATION - General Incident,,230465,Closed
4/13/2023 19:41,,Old Science,CITIZEN ASSIST - Check The Welfare,23-04-13-005087,230465,REPORT TAKEN
4/13/2023 18:11,,Frank E Pilling Computer Science,ALARM - Fire Alarm,23-04-13-005081,,False/Mechanical
4/13/2023 18:00,,Pcv Huasna,ALARM - Fire Alarm,23-04-13-005079,,False/Cooking related
4/13/2023 17:55,,Administration,CITIZEN ASSIST - Public Assist (specify),23-04-13-005078,,IN SERVICE
4/13/2023 17:47,,Agricultural Sciences,ALARM - Burglary Alarm,23-04-13-005077,,False/Mechanical
4/13/2023 17:32,,Pcv Huasna,ALARM - Fire Alarm,23-04-13-005076,,False/Cooking related
4/13/2023 16:32,,Pcv Inyo,ALARM - Fire Alarm,23-04-13-005074,,False/Cooking related
4/13/2023 15:41,04/12/2023 12:00 am - 04/12/2023 11:59 pm,Kennedy Library,PROPERTY - Lost Property,,230464,Inactive
4/13/2023 15:41,,Kennedy Library,PROPERTY - Lost Property,23-04-13-005071,230464,REPORT TAKEN
4/13/2023 14:32,04/06/2023 06:00 pm - 04/06/2023 10:30 pm,Kennedy Library,PROPERTY - Lost Property,,230463,Inactive
4/13/2023 14:32,,Kennedy Library,PROPERTY - Lost Property,23-04-13-005069,230463,REPORT TAKEN
4/13/2023 14:29,4/13/2023 14:29,110 Grand Ave.,DOCUMENTATION - Bike Impound,,230462,
4/13/2023 14:29,,110 Grand Ave.,DOCUMENTATION - Bike Impound,23-04-13-005066,230462,REPORT TAKEN
4/13/2023 14:28,,Unknown On-campus,PROPERTY - Found Property report,23-04-13-005068,,HELD IN DISPATCH
4/13/2023 14:22,,Pcv Foxen,ALARM - Fire Alarm,23-04-13-005065,,False/Cooking related
4/13/2023 13:53,,Cal Poly Police Department,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-13-005064,,REPORT TAKEN
4/13/2023 13:44,04/13/2023 01:44 pm - 04/13/2023 01:46 pm,Vista Grande,DOCUMENTATION - Bike Impound,,230461,
4/13/2023 13:44,,Vista Grande,DOCUMENTATION - Bike Impound,23-04-13-005061,230461,REPORT TAKEN
4/13/2023 13:13,04/13/2023 12:00 pm - 04/13/2023 01:00 pm,Cal Poly Police Department,PROPERTY - Lost Property,,230467,Closed
4/13/2023 13:13,,Cal Poly Police Department,PROPERTY - Lost Property,23-04-13-005058,230467,REPORT TAKEN
4/13/2023 12:26,,Student Services Center Area,PARKING - Parking Violation,23-04-13-005057,,TURNED OVER TO
4/13/2023 12:21,,Cal Poly Pier,ALARM - Audible Alarm,23-04-13-005056,,TURNED OVER TO
4/13/2023 11:34,,Village Drive Parking Structure,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-13-005054,,CLEARED BY CITATION
4/13/2023 11:21,,William & Linda Frost Center For Research & Innovation,ALARM - Audible Alarm,23-04-13-005053,,CALLED PRIOR
4/13/2023 11:09,,Kennedy Library,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-13-005052,230459,REPORT TAKEN
4/13/2023 9:51,,Cal Poly Police Department,CITIZEN ASSIST - Public Assist (specify),23-04-13-005049,,COMPLETED- NO REPORT
4/13/2023 9:17,,Grand Avenue,DOCUMENTATION - General Incident,23-04-13-005048,,COMPLETED- NO REPORT
4/13/2023 9:08,,Cerro Vista Housing,ALARM - Fire Alarm,23-04-13-005046,,CALLED PRIOR
4/13/2023 8:36,,Pcv Gypsum,ALARM - Fire Alarm,23-04-13-005044,,False/Cooking related
4/13/2023 3:24,,Frank E Pilling Computer Science,ALARM - Burglary Alarm,23-04-13-005035,,SECURE/UNKNOWN
4/13/2023 3:23,,Student Services Center,PATROL ACTIVITY - Vehicle Check,23-04-13-005034,,IN SERVICE
4/13/2023 2:45,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-13-005033,,IN SERVICE
4/13/2023 0:46,,Administration,ALARM - Burglary Alarm,23-04-13-005032,,CALLED PRIOR
4/12/2023 22:37,,Yak?ityutyu - F,ALARM - Elevator Emergency/Alarm,23-04-12-005029,,COMPLETED- NO REPORT
4/12/2023 22:35,,Construction Innovations Center Area,CITIZEN ASSIST - Check The Welfare,23-04-12-005028,,GONE ON ARRIVAL/UNABLE TO LOCATE
4/12/2023 21:50,,Pcv Buena Vista,ALARM - Fire Alarm,23-04-12-005026,,False/Cooking related
4/12/2023 21:37,,California Boulevard,VEHICLE - Vehicle Stop,23-04-12-005025,,DRIVER WARNED/ADVISED
4/12/2023 21:24,,K-2 Parking Lot,VEHICLE - Vehicle Stop,23-04-12-005024,,CLEARED BY CITATION
4/12/2023 21:03,,Kennedy Library,CITIZEN ASSIST - Escort,23-04-12-005022,,
4/12/2023 20:27,04/12/2023 08:27 pm - 04/12/2023 08:47 pm,Mathematics And Science,SUICIDE - Suicidal Subject/Suicide,,230457,Closed
4/12/2023 20:27,,Mathematics And Science,SUICIDE - Suicidal Subject/Suicide,23-04-12-005021,230457,REPORT TAKEN
4/12/2023 20:14,,Cerro Vista  Islay,ALARM - Fire Alarm,23-04-12-005020,,False/Cooking related
4/12/2023 20:13,,Frank E Pilling Computer Science,CITIZEN ASSIST - Escort,23-04-12-005019,,COMPLETED- NO REPORT
4/12/2023 19:59,,Rodeo Arena,ALCOHOL - Alcohol Violation,23-04-12-005018,,COMPLETED- NO REPORT
4/12/2023 19:17,,Performing Arts Center,ALARM - Fire Alarm,23-04-12-005014,,CALLED PRIOR
4/12/2023 19:15,,Pcv Gypsum,ALARM - Fire Alarm,23-04-12-005013,,TURNED OVER TO HOUSING
4/12/2023 19:03,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-12-005012,,IN SERVICE
4/12/2023 18:36,04/12/2023 06:36 pm - 04/12/2023 07:03 pm,Rodeo Arena,DOCUMENTATION - General Incident,,230456,
4/12/2023 18:36,,Rodeo Arena,TRESPASS - Trespassing,23-04-12-005010,230456,REPORT TAKEN
4/12/2023 18:12,,Frank E Pilling Computer Science,ALARM - Fire Alarm,23-04-12-005008,,TURNED OVER TO FACILITY SVS
4/12/2023 17:55,04/12/2023 05:55 pm - 04/12/2023 06:15 pm,Kennedy Library,MEDICAL - Medical Aid,,230455,Closed
4/12/2023 17:55,,Kennedy Library,MEDICAL - Medical Aid,23-04-12-005007,230455,REPORT TAKEN
4/12/2023 17:22,,Cerro Vista Circle,PARKING - Parking Violation,23-04-12-005006,,CLEARED BY CITATION
4/12/2023 14:15,,Performing Arts Center,ALARM - Fire Alarm,23-04-12-004999,,CALLED PRIOR
4/12/2023 12:32,,Old Science,FOLLOWUP - Followup,23-04-12-004995,,COMPLETED- NO REPORT
4/12/2023 12:19,,Dexter Lawn,DISTURBANCE - Disturbing the Peace,23-04-12-004994,,UNFOUNDED
4/12/2023 12:18,,Via Carta Road,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-12-004993,,UNFOUNDED
4/12/2023 11:29,,,ADMINISTRATIVE - Personal,23-04-12-004990,,IN SERVICE
4/12/2023 11:19,,William & Linda Frost Center For Research & Innovation,CITIZEN ASSIST - Public Assist (specify),23-04-12-004989,,COMPLETED- NO REPORT
4/12/2023 10:53,,Cal Poly Pier,ALARM - Equipment Alarm,23-04-12-004988,,CALLED PRIOR
4/12/2023 10:36,,Crops Unit Area,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-12-004986,,COMPLETED- NO REPORT
4/12/2023 10:34,,H-11 Parking Lot,PARKING - Parking Violation,23-04-12-004984,,COMPLETED- NO REPORT
4/12/2023 9:28,,Pcv Estrella,ALARM - Fire Alarm,23-04-12-004981,,CALLED PRIOR
4/12/2023 9:06,04/11/2023 01:30 am - 04/11/2023 07:00 am,Walter F. Dexter Building,DOCUMENTATION - General Incident,,230452,Closed
4/12/2023 9:06,,Walter F. Dexter Building,DOCUMENTATION - General Incident,23-04-12-004980,230452,REPORT TAKEN
4/12/2023 6:01,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-12-004970,,IN SERVICE
4/12/2023 5:42,,Yak?ityutyu Area,PATROL ACTIVITY - Patrol Check,23-04-12-004969,,IN SERVICE
4/12/2023 3:36,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-04-12-004968,,IN SERVICE
4/12/2023 3:29,,Old Science,PATROL ACTIVITY - Foot Patrol,23-04-12-004967,,IN SERVICE
4/12/2023 2:59,,Pcv Estrella,ALARM - Fire Alarm,23-04-12-004966,,TURNED OVER TO HOUSING
4/12/2023 2:45,,Performing Arts Center,PATROL ACTIVITY - Foot Patrol,23-04-12-004965,,IN SERVICE
4/12/2023 2:08,,Center For Science,PROPERTY - Found Property report,23-04-12-004964,,TURNED OVER TO OWNER
4/12/2023 1:55,,Rodeo Arena,PATROL ACTIVITY - Patrol Check,23-04-12-004963,,IN SERVICE
4/12/2023 1:44,,University Drive,VEHICLE - Vehicle Stop,23-04-12-004962,,DRIVER WARNED/ADVISED
4/11/2023 23:42,,Yak?ityutyu - E,CITIZEN ASSIST - Public Assist (specify),23-04-11-004961,,COMPLETED- NO REPORT
4/11/2023 22:31,04/11/2023 10:31 pm - 04/11/2023 10:57 pm,Grand Avenue Parking Structure,DOCUMENTATION - OSRR Referral,,230450,Closed
4/11/2023 22:31,,Grand Avenue Parking Structure,PATROL ACTIVITY - Vehicle Check,23-04-11-004959,230450,REPORT TAKEN
4/11/2023 21:42,,Oppenheimer Family Equine Center,PATROL ACTIVITY - Patrol Check,23-04-11-004958,,IN SERVICE
4/11/2023 21:33,,Swine Unit,PATROL ACTIVITY - Patrol Check,23-04-11-004957,,IN SERVICE
4/11/2023 19:53,,Pcv Huasna,ALARM - Fire Alarm,23-04-11-004954,,False/Cooking related
4/11/2023 19:52,,California Boulevard,VEHICLE - Vehicle Stop,23-04-11-004953,,DRIVER WARNED/ADVISED
4/11/2023 19:42,,C-7 Parking Lot,VEHICLE - Vehicle Stop,23-04-11-004952,,DRIVER WARNED/ADVISED
4/11/2023 19:27,,Julian A. Mcphee University Union,PATROL ACTIVITY - Foot Patrol,23-04-11-004948,,IN SERVICE
4/11/2023 17:43,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-04-11-004943,,UNFOUNDED
4/11/2023 17:25,,Unknown On-campus,DISPATCH - 911 Unknown/Abandoned or Hangup,23-04-11-004942,,UNFOUNDED
4/11/2023 16:17,,Pcv Estrella,ALARM - Fire Alarm,23-04-11-004939,,TURNED OVER TO HOUSING
4/11/2023 16:14,,,ALARM - Fire Alarm,23-04-11-004938,,Cancelled Event
4/11/2023 15:59,,Fremont Hall,ALARM - Fire Alarm,23-04-11-004937,,TURNED OVER TO HOUSING
4/11/2023 13:25,,Yak?ityutyu - H,PROPERTY - Found Property report,23-04-11-004932,,TURNED OVER TO OWNER
4/11/2023 13:14,,Unknown On-campus,PROPERTY - Found Property report,23-04-11-004931,,TURNED OVER TO OWNER
4/11/2023 12:41,,Health & Wellbeing Center,DOCUMENTATION - Suspicious circumstances/vehicle/person,23-04-11-004930,,OTHER
4/11/2023 12:37,,Sequoia Hall,CITIZEN ASSIST - Public Assist (specify),23-04-11-004929,,COMPLETED- NO REPORT
4/11/2023 12:08,,William & Linda Frost Center For Research & Innovation,ALARM - Elevator Emergency/Alarm,23-04-11-004928,,UNFOUNDED
4/11/2023 10:47,,Pcv Foxen,ALARM - Fire Alarm,23-04-11-004926,,False/Mechanical
4/11/2023 10:22,,Pcv Aliso,ALARM - Fire Alarm,23-04-11-004924,,False/Cooking related
4/11/2023 9:08,04/10/2023 12:00 am - 04/11/2023 09:00 am,Unknown On-campus,PROPERTY - Lost Property,,230448,Closed
4/11/2023 9:08,,Unknown On-campus,PROPERTY - Lost Property,23-04-11-004921,230448,REPORT TAKEN
4/11/2023 8:54,,Faculty Offices North,ALARM - Equipment Alarm,23-04-11-004920,,COMPLETED- NO REPORT
4/11/2023 8:34,,Yak?ityutyu - B,ALARM - Fire Alarm,23-04-11-004918,,False/Cooking related
4/11/2023 7:09,04/11/2023 07:09 am - 04/11/2023 07:22 am,Highland Drive,TRAFFIC COLLISION - Non Injury Traffic Collision,,230447,Closed
4/11/2023 7:09,,Highland Drive,TRAFFIC COLLISION - Non Injury Traffic Collision,23-04-11-004915,230447,REPORT TAKEN
4/11/2023 6:24,,Baseball Stadium,ALARM - Fire Alarm,23-04-11-004909,,TURNED OVER TO FACILITY SVS
4/11/2023 6:14,,Whitney Hall,ALARM - Fire Alarm,23-04-11-004907,,False/Mechanical
4/11/2023 6:06,,Muir Hall,ALARM - Fire Alarm,23-04-11-004906,,False/Steam
4/11/2023 4:08,,Engineering West,PATROL ACTIVITY - Foot Patrol,23-04-11-004905,,IN SERVICE
4/11/2023 3:53,,Education Building,PATROL ACTIVITY - Foot Patrol,23-04-11-004904,,IN SERVICE
4/11/2023 3:37,,Architecture & Environmental Design,PATROL ACTIVITY - Foot Patrol,23-04-11-004903,,IN SERVICE
4/11/2023 3:27,,Erhart Agricultural Scien,ALARM - Burglary Alarm,23-04-11-004902,,CALLED PRIOR
4/11/2023 1:33,,H14-a Parking Lot,PATROL ACTIVITY - Vehicle Check,23-04-11-004901,,SUBJECT(S) ADVISED/WARNED
4/11/2023 1:27,,Advanced Technology Lab,PATROL ACTIVITY - Patrol Check,23-04-11-004900,,COMPLETED- NO REPORT
4/11/2023 1:19,,Baseball Stadium,PATROL ACTIVITY - Vehicle Check,23-04-11-004899,,IN SERVICE
4/10/2023 23:29,,Agricultural Sciences,ALARM - Burglary Alarm,23-04-10-004897,,TURNED OVER TO
